[ 7346.662623] CMPE 283 Assignment 1 Module Start
[ 7346.662626] Pinbased Controls MSR: 0x3f00000016
[ 7346.662627]   External Interrupt Exiting: Can set=Yes, Can clear=Yes
[ 7346.662628]   NMI Exiting: Can set=Yes, Can clear=Yes
[ 7346.662629]   Virtual NMIs: Can set=Yes, Can clear=Yes
[ 7346.662629]   Activate VMX Preemption Timer: Can set=No, Can clear=Yes
[ 7346.662630]   Process Posted Interrupts: Can set=No, Can clear=Yes
[ 7346.662631] Procbased Controls MSR: 0xfff9fffe0401e172
[ 7346.662631]   Interrupt-window exiting: Can set=Yes, Can clear=Yes
[ 7346.662632]   Use TSC offsetting: Can set=Yes, Can clear=Yes
[ 7346.662632]   HLT exiting: Can set=Yes, Can clear=Yes
[ 7346.662633]   INVLPG exiting: Can set=Yes, Can clear=Yes
[ 7346.662633]   MWAIT exiting: Can set=Yes, Can clear=Yes
[ 7346.662634]   RDMPC exiting: Can set=Yes, Can clear=Yes
[ 7346.662634]   RDTSC exiting: Can set=Yes, Can clear=Yes
[ 7346.662635]   CR3-load exiting: Can set=Yes, Can clear=No
[ 7346.662635]   CR3-store exiting: Can set=Yes, Can clear=No
[ 7346.662636]   CR8-load exiting: Can set=Yes, Can clear=Yes
[ 7346.662636]   CR8-store exiting: Can set=Yes, Can clear=Yes
[ 7346.662637]   Use TPR shadow: Can set=Yes, Can clear=Yes
[ 7346.662637]   NMI-window exiting: Can set=Yes, Can clear=Yes
[ 7346.662637]   MOV-DR exiting: Can set=Yes, Can clear=Yes
[ 7346.662638]   Unconditional I/O exiting: Can set=Yes, Can clear=Yes
[ 7346.662638]   Use I/O bitmaps: Can set=Yes, Can clear=Yes
[ 7346.662639]   Monitor trap flag: Can set=Yes, Can clear=Yes
[ 7346.662639]   Use MSR bitmaps: Can set=Yes, Can clear=Yes
[ 7346.662640]   MONITOR exiting: Can set=Yes, Can clear=Yes
[ 7346.662640]   PAUSE exiting: Can set=Yes, Can clear=Yes
[ 7346.662641] Secondary Procbased Controls MSR: 0x553cfe00000000
[ 7346.662642]   Virtualize APIC accessories: Can set=No, Can clear=Yes
[ 7346.662642]   Enable EPT: Can set=Yes, Can clear=Yes
[ 7346.662643]   Descriptor-table exiting: Can set=Yes, Can clear=Yes
[ 7346.662643]   Enable RDTSCP: Can set=Yes, Can clear=Yes
[ 7346.662644]   Virtualize x2APIC mode: Can set=Yes, Can clear=Yes
[ 7346.662644]   Enable VPID: Can set=Yes, Can clear=Yes
[ 7346.662645]   WBINVD exiting: Can set=Yes, Can clear=Yes
